@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://kr.battle.net/sc2/en/profile/2343479/1/,http://us.battle.net/sc2/en/profile/3985949/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://eu.battle.net/sc2/en/profile/2101268/1/,http://kr.battle.net/sc2/en/profile/2344207/1/,http://eu.battle.net/sc2/en/profile/4064798/1/,http://kr.battle.net/sc2/en/profile/2343263/1/,http://kr.battle.net/sc2/en/profile/2333068/1/,http://kr.battle.net/sc2/en/profile/2343882/1/,http://us.battle.net/sc2/en/profile/4167590/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://eu.battle.net/sc2/en/profile/251061/1/,http://eu.battle.net/sc2/en/profile/4234852/1/,http://us.battle.net/sc2/en/profile/4417787/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://kr.battle.net/sc2/en/profile/2332264/1/,http://eu.battle.net/sc2/en/profile/884897/1/,http://kr.battle.net/sc2/en/profile/2343607/1/,http://kr.battle.net/sc2/en/profile/2342794/1/,http://kr.battle.net/sc2/en/profile/2343484/1/,http://eu.battle.net/sc2/en/profile/788178/1/,http://kr.battle.net/sc2/en/profile/2343240/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://us.battle.net/sc2/en/profile/3301677/1/,http://kr.battle.net/sc2/en/profile/2341700/1/,http://eu.battle.net/sc2/en/profile/2222468/1/,http://eu.battle.net/sc2/en/profile/3010872/1/,http://kr.battle.net/sc2/en/profile/2344230/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://kr.battle.net/sc2/en/profile/2344333/1/,http://kr.battle.net/sc2/en/profile/2343012/1/,http://eu.battle.net/sc2/en/profile/1143713/1/,http://us.battle.net/sc2/en/profile/3426440/1/,http://kr.battle.net/sc2/en/profile/2342766/1/,http://kr.battle.net/sc2/en/profile/2342147/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/2341492/1/,http://us.battle.net/sc2/en/profile/3202227/1/,http://kr.battle.net/sc2/en/profile/2344987/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://kr.battle.net/sc2/en/profile/2342269/1/,http://kr.battle.net/sc2/en/profile/1106851/2/,http://eu.battle.net/sc2/en/profile/377576/1/,http://eu.battle.net/sc2/en/profile/3401218/1/,http://eu.battle.net/sc2/en/profile/2452136/1/,http://eu.battle.net/sc2/en/profile/3368730/1/,http://kr.battle.net/sc2/en/profile/2334376/1/,http://eu.battle.net/sc2/en/profile/250458/1/,http://kr.battle.net/sc2/en/profile/2344476/1/,http://us.battle.net/sc2/en/profile/902213/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://eu.battle.net/sc2/en/profile/1058669/1/,http://kr.battle.net/sc2/en/profile/2342343/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey72 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey31 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,769.0,1.0,4.0,202.0,14.0,2.0,12.0,631.0,1.0,5.0,719.0,26.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,189.574468085
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2334376/1/,405.0,3.0,7.0,594.0,302.0,16.0,29.0,267.0,112.0,1.0,20.0,17.0,1.0,38.0,2.0,444.0,1.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.808306709
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,793.0,2.0,5.0,294.0,17.0,2.0,6.0,637.0,0.0,3.0,706.0,17.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,214.857142857
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,408.0,3.0,6.0,606.0,283.0,19.0,23.0,281.0,136.0,1.0,21.0,14.0,1.0,26.0,1.0,422.0,1.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.653979239
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,297.0,0.0,1.0,0.0,0.0,9.0,19.0,162.0,14.0,2.0,208.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.074074074
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,213.0,0.0,4.0,189.0,0.0,4.0,32.0,59.0,22.0,0.0,0.0,3.0,0.0,0.0,1.0,260.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.661538462
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,400.0,8.0,4.0,232.0,100.0,4.0,27.0,561.0,485.0,2.0,43.0,30.0,2.0,2.0,5.0,55.0,3.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.065246338
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,429.0,4.0,7.0,285.0,110.0,7.0,15.0,574.0,553.0,3.0,98.0,34.0,3.0,8.0,5.0,51.0,2.0,14.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.517482517
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,413.0,3.0,6.0,638.0,198.0,27.0,24.0,300.0,163.0,2.0,22.0,17.0,1.0,20.0,1.0,466.0,1.0,65.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.03722262
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,420.0,3.0,6.0,617.0,232.0,24.0,14.0,235.0,163.0,1.0,20.0,9.0,1.0,12.0,1.0,479.0,1.0,70.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.414620217
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,541.0,0.0,1.0,0.0,0.0,4.0,30.0,649.0,64.0,2.0,645.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,208.571428571
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,673.0,0.0,5.0,136.0,0.0,1.0,17.0,715.0,1.0,3.0,771.0,14.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,193.543091655
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,763.0,0.0,1.0,1.0,0.0,3.0,30.0,746.0,25.0,4.0,842.0,26.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,184.037267081
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,721.0,3.0,11.0,81.0,11.0,2.0,11.0,681.0,0.0,2.0,775.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,169.033018868
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,455.0,5.0,3.0,312.0,262.0,8.0,26.0,530.0,606.0,3.0,117.0,43.0,3.0,4.0,5.0,50.0,4.0,24.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.192307692
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,751.0,0.0,2.0,37.0,0.0,3.0,14.0,695.0,26.0,4.0,791.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,180.963425513
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,274.0,3.0,3.0,215.0,260.0,1.0,16.0,182.0,6.0,2.0,168.0,22.0,2.0,4.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0593555681
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2341700/1/,279.0,3.0,3.0,186.0,273.0,0.0,12.0,163.0,0.0,2.0,104.0,18.0,2.0,7.0,1.0,68.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.881147541
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,231.0,2.0,2.0,118.0,203.0,2.0,20.0,116.0,1.0,1.0,23.0,14.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9806763285
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,524.0,0.0,3.0,23.0,0.0,8.0,36.0,435.0,148.0,1.0,272.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.289719626
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,619.0,3.0,3.0,11.0,179.0,3.0,17.0,106.0,0.0,1.0,607.0,6.0,1.0,0.0,5.0,481.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,115.822306238
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,752.0,0.0,1.0,0.0,0.0,7.0,14.0,422.0,190.0,1.0,428.0,8.0,0.0,0.0,1.0,403.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,191.491108071
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,515.0,4.0,4.0,66.0,147.0,1.0,6.0,96.0,0.0,1.0,462.0,7.0,1.0,0.0,3.0,369.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,124.527162978
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,313.0,4.0,1.0,149.0,332.0,0.0,9.0,132.0,0.0,2.0,190.0,49.0,1.0,8.0,1.0,119.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6842105263
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,784.0,4.0,4.0,5.0,4.0,4.0,10.0,399.0,167.0,1.0,552.0,10.0,1.0,1.0,1.0,526.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,197.019475021
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,499.0,6.0,3.0,56.0,224.0,0.0,10.0,83.0,0.0,1.0,554.0,7.0,1.0,0.0,3.0,397.0,1.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,131.85840708
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2341700/1/,298.0,3.0,1.0,111.0,281.0,0.0,13.0,140.0,0.0,3.0,125.0,44.0,1.0,6.0,1.0,112.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0338164251
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,843.0,3.0,4.0,23.0,5.0,8.0,13.0,405.0,184.0,1.0,509.0,8.0,1.0,6.0,1.0,489.0,1.0,37.0,1.0,0.0,1.0,0.0,0.0,1.0,32.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,195.857805255
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,324.0,3.0,3.0,188.0,261.0,6.0,22.0,142.0,5.0,2.0,159.0,31.0,2.0,4.0,1.0,110.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7331378299
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,832.0,2.0,1.0,37.0,1.0,13.0,20.0,442.0,212.0,1.0,478.0,7.0,0.0,0.0,1.0,471.0,3.0,21.0,3.0,1.0,2.0,0.0,0.0,1.0,40.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,210.395894428
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,616.0,0.0,1.0,4.0,0.0,1.0,22.0,430.0,150.0,1.0,374.0,14.0,0.0,0.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,199.144736842
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,628.0,0.0,1.0,3.0,0.0,8.0,12.0,442.0,219.0,1.0,324.0,11.0,0.0,0.0,1.0,325.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,193.511811024
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,936.0,0.0,1.0,1.0,0.0,5.0,15.0,514.0,218.0,1.0,473.0,9.0,0.0,0.0,1.0,462.0,2.0,46.0,16.0,0.0,0.0,0.0,0.0,1.0,60.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,203.444354184
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,607.0,5.0,2.0,15.0,222.0,2.0,9.0,106.0,0.0,1.0,630.0,9.0,1.0,0.0,5.0,497.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,159.12244898
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,265.0,3.0,12.0,32.0,151.0,19.0,12.0,187.0,353.0,4.0,62.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,48.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5251798561
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,337.0,3.0,18.0,38.0,152.0,20.0,26.0,155.0,381.0,2.0,54.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.798206278
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,381.0,4.0,1.0,872.0,146.0,10.0,15.0,243.0,494.0,5.0,60.0,10.0,5.0,8.0,3.0,40.0,2.0,13.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.68627451
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,358.0,4.0,1.0,975.0,147.0,10.0,23.0,459.0,390.0,4.0,63.0,5.0,2.0,11.0,3.0,38.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.778067885
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,502.0,7.0,1.0,1079.0,63.0,11.0,26.0,547.0,344.0,4.0,104.0,5.0,2.0,15.0,1.0,19.0,3.0,11.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.021226415
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,415.0,8.0,1.0,1002.0,122.0,8.0,20.0,492.0,351.0,5.0,65.0,5.0,4.0,10.0,2.0,13.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.99734748
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,334.0,4.0,9.0,5.0,108.0,24.0,28.0,132.0,225.0,4.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7632508834
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,288.0,4.0,7.0,15.0,92.0,36.0,20.0,142.0,272.0,2.0,40.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,37.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4686346863
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,364.0,9.0,1.0,960.0,137.0,13.0,19.0,552.0,303.0,3.0,76.0,11.0,3.0,9.0,3.0,36.0,2.0,4.0,0.0,0.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.146814404
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,243.0,2.0,3.0,457.0,13.0,5.0,15.0,227.0,74.0,2.0,33.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.542168675
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,443.0,8.0,1.0,1050.0,46.0,11.0,32.0,665.0,236.0,3.0,110.0,5.0,4.0,8.0,3.0,13.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.014623172
