@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://kr.battle.net/sc2/en/profile/2343479/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://eu.battle.net/sc2/en/profile/4064798/1/,http://kr.battle.net/sc2/en/profile/2343263/1/,http://kr.battle.net/sc2/en/profile/2333068/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://eu.battle.net/sc2/en/profile/251061/1/,http://eu.battle.net/sc2/en/profile/4234852/1/,http://us.battle.net/sc2/en/profile/4417787/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://eu.battle.net/sc2/en/profile/3010872/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://kr.battle.net/sc2/en/profile/2343012/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://us.battle.net/sc2/en/profile/3202227/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://eu.battle.net/sc2/en/profile/377576/1/,http://eu.battle.net/sc2/en/profile/2452136/1/,http://eu.battle.net/sc2/en/profile/3368730/1/,http://kr.battle.net/sc2/en/profile/2334376/1/,http://eu.battle.net/sc2/en/profile/250458/1/,http://kr.battle.net/sc2/en/profile/2344476/1/,http://kr.battle.net/sc2/en/profile/2342343/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey72 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey31 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,204.0,27.0,1.0,295.0,112.0,1.0,5.0,82.0,38.0,2.0,130.0,36.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.536842105
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,237.0,19.0,1.0,273.0,73.0,2.0,3.0,27.0,29.0,1.0,77.0,37.0,0.0,0.0,3.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.118881119
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,203.0,18.0,3.0,256.0,86.0,4.0,7.0,41.0,44.0,1.0,83.0,30.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.286885246
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,173.0,20.0,1.0,170.0,21.0,4.0,11.0,47.0,52.0,6.0,96.0,31.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3463796477
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4417787/1/,229.0,1.0,1.0,26.0,177.0,3.0,14.0,129.0,42.0,1.0,4.0,14.0,0.0,0.0,1.0,17.0,1.0,0.0,2.0,0.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.115158637
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4417787/1/,229.0,1.0,1.0,37.0,159.0,3.0,15.0,86.0,67.0,2.0,27.0,12.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,47.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.386806597
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/4417787/1/,284.0,1.0,2.0,65.0,259.0,2.0,13.0,193.0,57.0,1.0,24.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.366350068
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,155.0,11.0,3.0,255.0,120.0,3.0,2.0,14.0,60.0,3.0,59.0,23.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0405643739
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,147.0,14.0,1.0,262.0,174.0,3.0,4.0,14.0,56.0,3.0,17.0,26.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.99410609
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,362.0,0.0,3.0,34.0,0.0,2.0,2.0,339.0,1.0,2.0,380.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.574468085
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2334376/1/,234.0,2.0,4.0,356.0,87.0,6.0,12.0,142.0,12.0,0.0,0.0,9.0,1.0,10.0,1.0,393.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.808306709
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,381.0,0.0,3.0,24.0,0.0,2.0,2.0,311.0,0.0,2.0,371.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.857142857
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,237.0,2.0,4.0,369.0,88.0,15.0,12.0,119.0,16.0,0.0,0.0,7.0,1.0,2.0,1.0,385.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.653979239
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,297.0,0.0,1.0,0.0,0.0,9.0,19.0,162.0,14.0,2.0,208.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.074074074
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,213.0,0.0,4.0,189.0,0.0,4.0,32.0,59.0,22.0,0.0,0.0,3.0,0.0,0.0,1.0,260.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.661538462
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,247.0,0.0,5.0,376.0,0.0,14.0,14.0,180.0,60.0,0.0,0.0,9.0,0.0,0.0,1.0,396.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.03722262
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,254.0,0.0,4.0,338.0,0.0,14.0,9.0,139.0,75.0,0.0,0.0,6.0,0.0,0.0,1.0,387.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.414620217
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,375.0,0.0,1.0,0.0,0.0,1.0,13.0,485.0,0.0,2.0,508.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.571428571
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,373.0,0.0,2.0,44.0,0.0,1.0,2.0,373.0,1.0,2.0,408.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.543091655
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,339.0,0.0,1.0,1.0,0.0,3.0,3.0,291.0,25.0,3.0,348.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.037267081
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,400.0,0.0,1.0,0.0,0.0,2.0,4.0,392.0,0.0,2.0,435.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.033018868
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,348.0,0.0,1.0,0.0,0.0,3.0,2.0,294.0,26.0,3.0,366.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.963425513
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,319.0,0.0,3.0,23.0,0.0,8.0,17.0,333.0,148.0,1.0,121.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.289719626
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,228.0,2.0,0.0,0.0,172.0,2.0,2.0,48.0,0.0,1.0,434.0,0.0,0.0,0.0,2.0,234.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.822306238
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,364.0,0.0,1.0,0.0,0.0,1.0,2.0,277.0,110.0,1.0,220.0,4.0,0.0,0.0,1.0,209.0,0.0,0.0,1.0,1.0,3.0,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.491108071
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,199.0,4.0,2.0,16.0,144.0,1.0,2.0,31.0,0.0,1.0,359.0,4.0,0.0,0.0,2.0,208.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.527162978
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,393.0,1.0,2.0,2.0,0.0,2.0,3.0,322.0,143.0,1.0,198.0,3.0,0.0,0.0,1.0,188.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.019475021
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,192.0,4.0,3.0,7.0,216.0,0.0,4.0,33.0,0.0,1.0,427.0,6.0,0.0,0.0,2.0,204.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.85840708
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,401.0,1.0,2.0,23.0,0.0,2.0,3.0,335.0,154.0,1.0,195.0,3.0,0.0,0.0,1.0,180.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.857805255
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,369.0,0.0,1.0,29.0,0.0,1.0,5.0,321.0,134.0,1.0,208.0,3.0,0.0,0.0,1.0,193.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.395894428
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,382.0,0.0,1.0,4.0,0.0,1.0,10.0,331.0,150.0,1.0,191.0,7.0,0.0,0.0,1.0,189.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.144736842
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,385.0,0.0,1.0,3.0,0.0,2.0,5.0,337.0,151.0,1.0,193.0,8.0,0.0,0.0,1.0,199.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.511811024
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,399.0,0.0,1.0,1.0,0.0,1.0,7.0,378.0,175.0,1.0,177.0,3.0,0.0,0.0,1.0,176.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.444354184
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,176.0,3.0,1.0,0.0,216.0,2.0,2.0,36.0,0.0,1.0,492.0,4.0,0.0,0.0,2.0,280.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.12244898
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,152.0,1.0,4.0,6.0,79.0,5.0,9.0,125.0,255.0,3.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5251798561
