@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://us.battle.net/sc2/en/profile/2553612/1/,http://eu.battle.net/sc2/en/profile/1139573/1/,http://eu.battle.net/sc2/en/profile/4064798/1/,http://eu.battle.net/sc2/en/profile/2115876/1/,http://kr.battle.net/sc2/en/profile/1126978/2/,http://eu.battle.net/sc2/en/profile/1021189/1/,http://us.battle.net/sc2/en/profile/5142993/1/,http://eu.battle.net/sc2/en/profile/4149248/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://us.battle.net/sc2/en/profile/4176016/1/,http://us.battle.net/sc2/en/profile/5393959/1/,http://eu.battle.net/sc2/en/profile/315813/1/,http://us.battle.net/sc2/en/profile/5376901/1/,http://us.battle.net/sc2/en/profile/3085708/1/,http://kr.battle.net/sc2/en/profile/2343240/1/,http://kr.battle.net/sc2/en/profile/2344252/1/,http://kr.battle.net/sc2/en/profile/2344333/1/,http://kr.battle.net/sc2/en/profile/2341700/1/,http://eu.battle.net/sc2/en/profile/3010872/1/,http://us.battle.net/sc2/en/profile/3301677/1/,http://kr.battle.net/sc2/en/profile/2343012/1/,http://us.battle.net/sc2/en/profile/4819996/1/,http://kr.battle.net/sc2/en/profile/2333312/1/,http://eu.battle.net/sc2/en/profile/2222468/1/,http://eu.battle.net/sc2/en/profile/1143713/1/,http://eu.battle.net/sc2/en/profile/2452136/1/,http://us.battle.net/sc2/en/profile/902213/1/,http://eu.battle.net/sc2/en/profile/326029/1/,http://us.battle.net/sc2/en/profile/3650249/1/,http://kr.battle.net/sc2/en/profile/2343479/1/,http://kr.battle.net/sc2/en/profile/2344207/1/,http://eu.battle.net/sc2/en/profile/2383348/1/,http://eu.battle.net/sc2/en/profile/2526293/1/,http://kr.battle.net/sc2/en/profile/2342491/1/,http://us.battle.net/sc2/en/profile/4167590/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://us.battle.net/sc2/en/profile/4174681/1/,http://kr.battle.net/sc2/en/profile/2342294/1/,http://kr.battle.net/sc2/en/profile/2343979/1/,http://us.battle.net/sc2/en/profile/3949344/1/,http://eu.battle.net/sc2/en/profile/950504/1/,http://eu.battle.net/sc2/en/profile/2898004/1/,http://kr.battle.net/sc2/en/profile/2343531/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://eu.battle.net/sc2/en/profile/239335/1/,http://eu.battle.net/sc2/en/profile/3401218/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://kr.battle.net/sc2/en/profile/2345126/1/,http://kr.battle.net/sc2/en/profile/2342785/1/,http://kr.battle.net/sc2/en/profile/2344230/1/,http://kr.battle.net/sc2/en/profile/2343484/1/,http://eu.battle.net/sc2/en/profile/2048063/1/,http://us.battle.net/sc2/en/profile/2575821/1/,http://us.battle.net/sc2/en/profile/3426440/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://us.battle.net/sc2/en/profile/3202227/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://kr.battle.net/sc2/en/profile/2342269/1/,http://us.battle.net/sc2/en/profile/2735594/1/,http://eu.battle.net/sc2/en/profile/3368730/1/,http://us.battle.net/sc2/en/profile/1317068/1/,http://kr.battle.net/sc2/en/profile/2342343/1/,http://eu.battle.net/sc2/en/profile/284466/1/,http://kr.battle.net/sc2/en/profile/2344602/1/,http://eu.battle.net/sc2/en/profile/1058669/1/,http://us.battle.net/sc2/en/profile/2537456/1/,http://kr.battle.net/sc2/en/profile/4324250/1/,http://eu.battle.net/sc2/en/profile/2101268/1/,http://eu.battle.net/sc2/en/profile/4341883/1/,http://eu.battle.net/sc2/en/profile/3090974/1/,http://us.battle.net/sc2/en/profile/4589387/1/,http://kr.battle.net/sc2/en/profile/2343910/1/,http://kr.battle.net/sc2/en/profile/2342983/1/,http://us.battle.net/sc2/en/profile/4417787/1/,http://us.battle.net/sc2/en/profile/3819890/1/,http://kr.battle.net/sc2/en/profile/2343607/1/,http://us.battle.net/sc2/en/profile/3948354/1/,http://kr.battle.net/sc2/en/profile/2340350/1/,http://us.battle.net/sc2/en/profile/3502513/1/,http://us.battle.net/sc2/en/profile/1640778/1/,http://kr.battle.net/sc2/en/profile/4529934/1/,http://kr.battle.net/sc2/en/profile/2344728/1/,http://kr.battle.net/sc2/en/profile/2240191/1/,http://kr.battle.net/sc2/en/profile/2342766/1/,http://us.battle.net/sc2/en/profile/3179642/1/,http://kr.battle.net/sc2/en/profile/2341765/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://us.battle.net/sc2/en/profile/2541852/1/,http://eu.battle.net/sc2/en/profile/377576/1/,http://kr.battle.net/sc2/en/profile/2344428/1/,http://kr.battle.net/sc2/en/profile/2334376/1/,http://kr.battle.net/sc2/en/profile/2342923/1/,http://kr.battle.net/sc2/en/profile/1178662/2/,http://kr.battle.net/sc2/en/profile/2333068/1/,http://kr.battle.net/sc2/en/profile/2343733/1/,http://kr.battle.net/sc2/en/profile/2341575/1/,http://kr.battle.net/sc2/en/profile/3488858/1/,http://us.battle.net/sc2/en/profile/3985949/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://kr.battle.net/sc2/en/profile/2343263/1/,http://kr.battle.net/sc2/en/profile/2341466/1/,http://kr.battle.net/sc2/en/profile/2343882/1/,http://eu.battle.net/sc2/en/profile/251061/1/,http://eu.battle.net/sc2/en/profile/4234852/1/,http://eu.battle.net/sc2/en/profile/884897/1/,http://kr.battle.net/sc2/en/profile/2342794/1/,http://eu.battle.net/sc2/en/profile/788178/1/,http://kr.battle.net/sc2/en/profile/2332264/1/,http://kr.battle.net/sc2/en/profile/2344407/1/,http://kr.battle.net/sc2/en/profile/2342147/1/,http://kr.battle.net/sc2/en/profile/2343852/1/,http://us.battle.net/sc2/en/profile/558433/1/,http://us.battle.net/sc2/en/profile/4629528/1/,http://kr.battle.net/sc2/en/profile/2341492/1/,http://kr.battle.net/sc2/en/profile/2344987/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/1106851/2/,http://us.battle.net/sc2/en/profile/2133676/1/,http://eu.battle.net/sc2/en/profile/250458/1/,http://kr.battle.net/sc2/en/profile/2344476/1/,http://kr.battle.net/sc2/en/profile/2344285/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey72 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey31 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2343067/1/,370.0,2.0,5.0,46.0,457.0,8.0,5.0,55.0,203.0,1.0,28.0,28.0,0.0,0.0,2.0,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.125874126
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343979/1/,301.0,1.0,1.0,53.0,777.0,5.0,31.0,567.0,216.0,2.0,121.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,82.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.836734694
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2343067/1/,611.0,2.0,1.0,3.0,652.0,10.0,17.0,94.0,337.0,3.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.162436548
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3502513/1/,447.0,5.0,2.0,47.0,753.0,26.0,1.0,595.0,244.0,3.0,95.0,27.0,1.0,0.0,3.0,60.0,1.0,10.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,164.113584037
race:Terran,status:Loss,http://us.battle.net/sc2/en/profile/2537456/1/,412.0,1.0,2.0,76.0,349.0,0.0,18.0,185.0,483.0,1.0,129.0,15.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,12.0,97.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,139.155794321
race:Terran,status:Loss,http://us.battle.net/sc2/en/profile/3502513/1/,244.0,4.0,3.0,39.0,454.0,9.0,1.0,391.0,193.0,3.0,57.0,18.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,196.5
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/2537456/1/,239.0,1.0,3.0,67.0,270.0,0.0,14.0,120.0,310.0,0.0,61.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,151.972789116
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2342923/1/,257.0,2.0,0.0,0.0,651.0,6.0,19.0,307.0,120.0,5.0,381.0,60.0,1.0,10.0,1.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.60918614
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343531/1/,578.0,5.0,14.0,92.0,74.0,18.0,16.0,120.0,211.0,1.0,150.0,9.0,0.0,0.0,2.0,106.0,1.0,126.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.552780016
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3502513/1/,397.0,8.0,3.0,337.0,557.0,14.0,1.0,607.0,242.0,4.0,101.0,21.0,2.0,3.0,2.0,41.0,1.0,24.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,184.93902439
race:Terran,status:Loss,http://us.battle.net/sc2/en/profile/2537456/1/,358.0,2.0,5.0,30.0,384.0,0.0,19.0,243.0,498.0,0.0,88.0,20.0,0.0,0.0,0.0,29.0,1.0,1.0,1.0,0.0,0.0,2.0,14.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,142.034587996
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2342923/1/,230.0,5.0,1.0,19.0,665.0,8.0,7.0,209.0,194.0,3.0,352.0,95.0,1.0,0.0,3.0,64.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.672354949
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2343531/1/,615.0,8.0,10.0,58.0,100.0,14.0,16.0,144.0,113.0,1.0,200.0,23.0,0.0,0.0,2.0,115.0,1.0,104.0,1.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.165720772
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1106851/2/,246.0,4.0,2.0,8.0,183.0,8.0,13.0,181.0,457.0,2.0,576.0,6.0,0.0,0.0,1.0,21.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.392324094
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2342923/1/,253.0,3.0,0.0,0.0,666.0,9.0,13.0,213.0,214.0,3.0,374.0,69.0,1.0,1.0,2.0,52.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.988826816
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343531/1/,580.0,7.0,7.0,83.0,146.0,14.0,9.0,140.0,130.0,1.0,236.0,13.0,1.0,1.0,1.0,132.0,1.0,114.0,0.0,1.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.074557316
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2342923/1/,179.0,1.0,0.0,0.0,513.0,5.0,18.0,245.0,113.0,4.0,367.0,10.0,1.0,9.0,2.0,27.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.634146341
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2343067/1/,519.0,1.0,2.0,17.0,641.0,16.0,13.0,154.0,341.0,3.0,33.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.941558442
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/1106851/2/,263.0,2.0,1.0,10.0,235.0,5.0,34.0,242.0,360.0,2.0,489.0,4.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.555555556
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1106851/2/,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.588235294
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2343067/1/,625.0,2.0,2.0,43.0,795.0,14.0,16.0,170.0,418.0,4.0,41.0,12.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.493530499
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2342923/1/,190.0,2.0,0.0,0.0,586.0,5.0,13.0,231.0,118.0,2.0,406.0,9.0,1.0,20.0,2.0,51.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.814986124
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1106851/2/,230.0,2.0,1.0,7.0,214.0,10.0,15.0,249.0,398.0,1.0,476.0,5.0,0.0,0.0,1.0,16.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.110132159
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2343531/1/,577.0,6.0,13.0,75.0,42.0,24.0,11.0,209.0,209.0,1.0,184.0,20.0,0.0,0.0,1.0,139.0,1.0,7.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.837696335
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343979/1/,535.0,1.0,1.0,51.0,462.0,7.0,54.0,376.0,162.0,3.0,244.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,145.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.896189225
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2343531/1/,560.0,9.0,6.0,93.0,23.0,19.0,13.0,150.0,203.0,1.0,199.0,8.0,0.0,0.0,1.0,140.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.909090909
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343979/1/,405.0,1.0,1.0,18.0,517.0,6.0,35.0,363.0,221.0,3.0,183.0,13.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,124.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.119205298
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/4529934/1/,732.0,1.0,1.0,84.0,327.0,33.0,3.0,299.0,215.0,1.0,148.0,19.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.691924227
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1106851/2/,311.0,5.0,1.0,1.0,485.0,9.0,30.0,527.0,266.0,3.0,451.0,10.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.48
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2342923/1/,298.0,3.0,1.0,27.0,604.0,2.0,22.0,218.0,175.0,2.0,329.0,17.0,1.0,24.0,1.0,31.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,133.090909091
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2343531/1/,617.0,3.0,10.0,64.0,17.0,29.0,15.0,181.0,254.0,1.0,239.0,14.0,0.0,0.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.17270195
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/4529934/1/,571.0,1.0,1.0,34.0,374.0,18.0,11.0,160.0,236.0,4.0,99.0,10.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.96214511
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1106851/2/,198.0,7.0,2.0,18.0,282.0,7.0,9.0,293.0,291.0,4.0,425.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.180094787
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2342923/1/,215.0,3.0,0.0,0.0,627.0,2.0,15.0,224.0,131.0,3.0,298.0,51.0,1.0,12.0,2.0,94.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.535557507
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343531/1/,569.0,9.0,16.0,81.0,147.0,11.0,9.0,156.0,103.0,1.0,208.0,11.0,1.0,1.0,1.0,109.0,1.0,107.0,2.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.752196837
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4417787/1/,561.0,1.0,8.0,60.0,313.0,3.0,10.0,174.0,54.0,1.0,42.0,24.0,1.0,1.0,1.0,5.0,3.0,17.0,0.0,0.0,0.0,0.0,61.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.418314256
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/4167590/1/,474.0,10.0,1.0,343.0,289.0,2.0,8.0,48.0,0.0,4.0,44.0,84.0,3.0,21.0,2.0,24.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.673618352
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2343531/1/,620.0,4.0,7.0,90.0,45.0,13.0,11.0,120.0,198.0,1.0,175.0,13.0,0.0,0.0,2.0,151.0,1.0,102.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.544600939
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2342923/1/,230.0,2.0,0.0,0.0,540.0,3.0,23.0,172.0,84.0,5.0,364.0,31.0,1.0,25.0,1.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.68174727
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/4417787/1/,575.0,1.0,7.0,50.0,228.0,11.0,12.0,219.0,59.0,1.0,42.0,31.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,61.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.962920046
race:Terran,status:Loss,http://us.battle.net/sc2/en/profile/4167590/1/,375.0,6.0,1.0,289.0,333.0,2.0,10.0,199.0,1.0,4.0,50.0,53.0,3.0,16.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.709976798
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344207/1/,428.0,2.0,3.0,104.0,126.0,34.0,15.0,266.0,65.0,1.0,366.0,12.0,1.0,6.0,1.0,220.0,2.0,47.0,0.0,0.0,0.0,0.0,37.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,162.574468085
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341765/1/,283.0,3.0,6.0,143.0,16.0,9.0,1.0,578.0,490.0,1.0,17.0,97.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,135.302869288
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/4417787/1/,512.0,1.0,3.0,124.0,226.0,4.0,22.0,216.0,63.0,1.0,30.0,12.0,1.0,11.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,65.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.035242291
race:Terran,status:Loss,http://us.battle.net/sc2/en/profile/4167590/1/,366.0,4.0,1.0,290.0,289.0,3.0,8.0,144.0,22.0,4.0,44.0,58.0,3.0,14.0,2.0,25.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.246636771
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344207/1/,447.0,2.0,2.0,140.0,146.0,23.0,10.0,418.0,54.0,1.0,449.0,9.0,1.0,2.0,1.0,175.0,1.0,39.0,0.0,0.0,1.0,0.0,36.0,2.0,5.0,14.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,181.794258373
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341765/1/,360.0,2.0,7.0,195.0,16.0,29.0,1.0,565.0,617.0,1.0,17.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,158.581730769
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1126978/2/,311.0,3.0,9.0,393.0,0.0,4.0,40.0,643.0,36.0,2.0,382.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.979274611
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2240191/1/,419.0,6.0,1.0,323.0,260.0,5.0,25.0,79.0,31.0,6.0,17.0,60.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.19089317
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/1126978/2/,270.0,3.0,9.0,348.0,0.0,5.0,25.0,611.0,81.0,3.0,382.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.513513514
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2240191/1/,453.0,7.0,1.0,366.0,334.0,3.0,16.0,112.0,36.0,5.0,15.0,59.0,3.0,18.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.794642857
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344207/1/,418.0,2.0,2.0,100.0,131.0,19.0,11.0,445.0,41.0,1.0,462.0,6.0,0.0,1.0,1.0,168.0,1.0,47.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,172.217958557
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341765/1/,350.0,2.0,5.0,190.0,16.0,15.0,1.0,551.0,521.0,1.0,22.0,57.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,143.236196319
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2240191/1/,425.0,6.0,1.0,354.0,308.0,3.0,16.0,116.0,18.0,4.0,20.0,46.0,2.0,22.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.48362956
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/1126978/2/,246.0,3.0,8.0,395.0,0.0,4.0,31.0,709.0,24.0,2.0,390.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.264925373
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2343240/1/,333.0,4.0,1.0,315.0,155.0,12.0,20.0,255.0,84.0,1.0,9.0,130.0,3.0,45.0,1.0,21.0,1.0,1.0,0.0,2.0,29.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.559888579
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2340350/1/,543.0,3.0,3.0,223.0,218.0,5.0,1.0,172.0,28.0,2.0,8.0,19.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.575139147
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2240191/1/,431.0,5.0,1.0,294.0,324.0,4.0,7.0,175.0,2.0,3.0,47.0,62.0,2.0,10.0,1.0,27.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.838174274
