@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://us.battle.net/sc2/en/profile/2553612/1/,http://eu.battle.net/sc2/en/profile/1139573/1/,http://eu.battle.net/sc2/en/profile/4064798/1/,http://eu.battle.net/sc2/en/profile/2115876/1/,http://kr.battle.net/sc2/en/profile/1126978/2/,http://eu.battle.net/sc2/en/profile/1021189/1/,http://us.battle.net/sc2/en/profile/5142993/1/,http://eu.battle.net/sc2/en/profile/4149248/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://us.battle.net/sc2/en/profile/4176016/1/,http://us.battle.net/sc2/en/profile/5393959/1/,http://eu.battle.net/sc2/en/profile/315813/1/,http://us.battle.net/sc2/en/profile/5376901/1/,http://us.battle.net/sc2/en/profile/3085708/1/,http://kr.battle.net/sc2/en/profile/2343240/1/,http://kr.battle.net/sc2/en/profile/2344252/1/,http://kr.battle.net/sc2/en/profile/2344333/1/,http://kr.battle.net/sc2/en/profile/2341700/1/,http://eu.battle.net/sc2/en/profile/3010872/1/,http://us.battle.net/sc2/en/profile/3301677/1/,http://kr.battle.net/sc2/en/profile/2343012/1/,http://us.battle.net/sc2/en/profile/4819996/1/,http://kr.battle.net/sc2/en/profile/2333312/1/,http://eu.battle.net/sc2/en/profile/2222468/1/,http://eu.battle.net/sc2/en/profile/1143713/1/,http://eu.battle.net/sc2/en/profile/2452136/1/,http://us.battle.net/sc2/en/profile/902213/1/,http://eu.battle.net/sc2/en/profile/326029/1/,http://us.battle.net/sc2/en/profile/3650249/1/,http://kr.battle.net/sc2/en/profile/2343479/1/,http://kr.battle.net/sc2/en/profile/2344207/1/,http://eu.battle.net/sc2/en/profile/2383348/1/,http://eu.battle.net/sc2/en/profile/2526293/1/,http://kr.battle.net/sc2/en/profile/2342491/1/,http://us.battle.net/sc2/en/profile/4167590/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://us.battle.net/sc2/en/profile/4174681/1/,http://kr.battle.net/sc2/en/profile/2342294/1/,http://kr.battle.net/sc2/en/profile/2343979/1/,http://us.battle.net/sc2/en/profile/3949344/1/,http://eu.battle.net/sc2/en/profile/950504/1/,http://eu.battle.net/sc2/en/profile/2898004/1/,http://kr.battle.net/sc2/en/profile/2343531/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://eu.battle.net/sc2/en/profile/239335/1/,http://eu.battle.net/sc2/en/profile/3401218/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://kr.battle.net/sc2/en/profile/2345126/1/,http://kr.battle.net/sc2/en/profile/2342785/1/,http://kr.battle.net/sc2/en/profile/2344230/1/,http://kr.battle.net/sc2/en/profile/2343484/1/,http://eu.battle.net/sc2/en/profile/2048063/1/,http://us.battle.net/sc2/en/profile/2575821/1/,http://us.battle.net/sc2/en/profile/3426440/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://us.battle.net/sc2/en/profile/3202227/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://kr.battle.net/sc2/en/profile/2342269/1/,http://us.battle.net/sc2/en/profile/2735594/1/,http://eu.battle.net/sc2/en/profile/3368730/1/,http://us.battle.net/sc2/en/profile/1317068/1/,http://kr.battle.net/sc2/en/profile/2342343/1/,http://eu.battle.net/sc2/en/profile/284466/1/,http://kr.battle.net/sc2/en/profile/2344602/1/,http://eu.battle.net/sc2/en/profile/1058669/1/,http://us.battle.net/sc2/en/profile/2537456/1/,http://kr.battle.net/sc2/en/profile/4324250/1/,http://eu.battle.net/sc2/en/profile/2101268/1/,http://eu.battle.net/sc2/en/profile/4341883/1/,http://eu.battle.net/sc2/en/profile/3090974/1/,http://us.battle.net/sc2/en/profile/4589387/1/,http://kr.battle.net/sc2/en/profile/2343910/1/,http://kr.battle.net/sc2/en/profile/2342983/1/,http://us.battle.net/sc2/en/profile/4417787/1/,http://us.battle.net/sc2/en/profile/3819890/1/,http://kr.battle.net/sc2/en/profile/2343607/1/,http://us.battle.net/sc2/en/profile/3948354/1/,http://kr.battle.net/sc2/en/profile/2340350/1/,http://us.battle.net/sc2/en/profile/3502513/1/,http://us.battle.net/sc2/en/profile/1640778/1/,http://kr.battle.net/sc2/en/profile/4529934/1/,http://kr.battle.net/sc2/en/profile/2344728/1/,http://kr.battle.net/sc2/en/profile/2240191/1/,http://kr.battle.net/sc2/en/profile/2342766/1/,http://us.battle.net/sc2/en/profile/3179642/1/,http://kr.battle.net/sc2/en/profile/2341765/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://us.battle.net/sc2/en/profile/2541852/1/,http://eu.battle.net/sc2/en/profile/377576/1/,http://kr.battle.net/sc2/en/profile/2344428/1/,http://kr.battle.net/sc2/en/profile/2334376/1/,http://kr.battle.net/sc2/en/profile/2342923/1/,http://kr.battle.net/sc2/en/profile/1178662/2/,http://kr.battle.net/sc2/en/profile/2333068/1/,http://kr.battle.net/sc2/en/profile/2343733/1/,http://kr.battle.net/sc2/en/profile/2341575/1/,http://kr.battle.net/sc2/en/profile/3488858/1/,http://us.battle.net/sc2/en/profile/3985949/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://kr.battle.net/sc2/en/profile/2343263/1/,http://kr.battle.net/sc2/en/profile/2341466/1/,http://kr.battle.net/sc2/en/profile/2343882/1/,http://eu.battle.net/sc2/en/profile/251061/1/,http://eu.battle.net/sc2/en/profile/4234852/1/,http://eu.battle.net/sc2/en/profile/884897/1/,http://kr.battle.net/sc2/en/profile/2342794/1/,http://eu.battle.net/sc2/en/profile/788178/1/,http://kr.battle.net/sc2/en/profile/2332264/1/,http://kr.battle.net/sc2/en/profile/2344407/1/,http://kr.battle.net/sc2/en/profile/2342147/1/,http://kr.battle.net/sc2/en/profile/2343852/1/,http://us.battle.net/sc2/en/profile/558433/1/,http://us.battle.net/sc2/en/profile/4629528/1/,http://kr.battle.net/sc2/en/profile/2341492/1/,http://kr.battle.net/sc2/en/profile/2344987/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/1106851/2/,http://us.battle.net/sc2/en/profile/2133676/1/,http://eu.battle.net/sc2/en/profile/250458/1/,http://kr.battle.net/sc2/en/profile/2344476/1/,http://kr.battle.net/sc2/en/profile/2344285/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey72 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey31 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2345126/1/,466.0,1.0,1.0,63.0,337.0,3.0,9.0,138.0,62.0,2.0,58.0,11.0,4.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.412087912
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2333312/1/,334.0,1.0,0.0,0.0,0.0,10.0,2.0,278.0,139.0,11.0,177.0,5.0,0.0,0.0,2.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5984251969
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2345126/1/,465.0,1.0,2.0,57.0,216.0,3.0,10.0,58.0,63.0,2.0,5.0,17.0,2.0,83.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.066792098
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2333312/1/,281.0,2.0,1.0,12.0,3.0,5.0,3.0,228.0,97.0,26.0,150.0,7.0,0.0,0.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.7674418605
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,307.0,27.0,1.0,399.0,209.0,4.0,18.0,187.0,129.0,2.0,168.0,38.0,0.0,0.0,2.0,26.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.536842105
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4174681/1/,181.0,5.0,3.0,405.0,241.0,3.0,18.0,321.0,34.0,4.0,120.0,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4840525328
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4629528/1/,606.0,3.0,1.0,410.0,293.0,2.0,10.0,29.0,33.0,1.0,29.0,71.0,1.0,0.0,1.0,0.0,2.0,1.0,40.0,1.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.299065421
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,360.0,19.0,1.0,363.0,157.0,11.0,11.0,71.0,112.0,3.0,134.0,38.0,0.0,0.0,3.0,23.0,1.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.118881119
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,235.0,18.0,3.0,260.0,86.0,5.0,14.0,73.0,54.0,2.0,105.0,30.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.286885246
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2333312/1/,251.0,2.0,0.0,0.0,11.0,3.0,1.0,213.0,99.0,10.0,124.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.732186732
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,222.0,20.0,1.0,178.0,21.0,5.0,18.0,103.0,61.0,6.0,120.0,33.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3463796477
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2333312/1/,283.0,2.0,0.0,0.0,13.0,3.0,1.0,252.0,161.0,9.0,176.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.167381974
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4629528/1/,642.0,1.0,1.0,355.0,242.0,13.0,16.0,78.0,88.0,1.0,28.0,47.0,1.0,0.0,1.0,0.0,1.0,0.0,41.0,1.0,0.0,3.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.114478114
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3301677/1/,626.0,2.0,2.0,82.0,10.0,5.0,4.0,64.0,331.0,1.0,573.0,2.0,0.0,0.0,1.0,109.0,1.0,9.0,0.0,0.0,0.0,1.0,120.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.537815126
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2345126/1/,498.0,1.0,3.0,70.0,285.0,4.0,10.0,179.0,44.0,1.0,92.0,10.0,3.0,127.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6566347469
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4417787/1/,534.0,1.0,7.0,38.0,289.0,5.0,23.0,260.0,62.0,1.0,9.0,47.0,0.0,0.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0,32.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.115158637
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4174681/1/,232.0,5.0,2.0,385.0,248.0,6.0,30.0,326.0,66.0,3.0,109.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.134818288
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/4417787/1/,627.0,1.0,2.0,38.0,237.0,5.0,26.0,189.0,70.0,2.0,29.0,32.0,0.0,0.0,1.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,103.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.386806597
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4174681/1/,291.0,5.0,2.0,371.0,263.0,3.0,35.0,416.0,99.0,2.0,61.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.748502994
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2345126/1/,506.0,1.0,2.0,86.0,342.0,2.0,7.0,65.0,51.0,1.0,144.0,20.0,4.0,91.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7109503453
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/4417787/1/,582.0,1.0,4.0,77.0,374.0,7.0,19.0,380.0,104.0,1.0,35.0,29.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,81.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.366350068
